Quicksort recur, array[50], k = 1
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
k = 1, is 7,
k = 1,7,
total time: ,,
16472800,,
quicksort recur, array[50], k = n/4
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
